iter	Passed	Remaining
0	22	22178
1	23	11948
2	25	8446
3	27	6817
4	28	5687
5	29	4924
6	30	4370
7	31	3945
8	32	3613
9	33	3349
10	35	3225
11	37	3112
12	39	2967
13	40	2840
14	41	2720
15	42	2624
16	43	2532
17	44	2441
18	45	2357
19	46	2281
20	48	2242
21	49	2205
22	50	2153
23	51	2099
24	52	2053
25	53	2005
26	54	1966
27	56	1956
28	57	1923
29	58	1893
30	60	1897
31	62	1891
32	63	1873
33	65	1860
34	66	1845
35	68	1824
36	69	1810
37	71	1817
38	73	1802
39	74	1790
40	76	1784
41	77	1768
42	78	1755
43	80	1738
44	81	1721
45	82	1707
46	83	1693
47	85	1705
48	87	1705
49	89	1702
50	90	1688
51	91	1676
52	93	1663
53	94	1650
54	95	1639
55	96	1628
56	97	1619
57	100	1632
58	102	1634
59	103	1627
60	105	1623
61	106	1615
62	107	1604
63	108	1594
64	110	1585
65	111	1578
66	112	1571
67	117	1609
68	119	1612
69	121	1607
70	122	1598
71	123	1593
72	124	1584
73	127	1590
74	129	1592
75	130	1589
76	146	1761
77	148	1757
78	150	1749
79	151	1738
80	153	1741
81	154	1731
82	155	1715
83	156	1704
84	157	1695
85	158	1686
86	160	1687
87	161	1677
88	163	1668
89	164	1658
90	165	1648
91	166	1644
92	167	1635
93	168	1625
94	169	1616
95	171	1610
96	172	1605
97	173	1600
98	176	1605
99	177	1597
100	178	1589
101	179	1583
102	180	1575
103	182	1568
104	182	1559
105	184	1554
106	185	1550
107	186	1542
108	187	1535
109	189	1534
110	191	1530
111	192	1523
112	193	1515
113	194	1508
114	195	1501
115	196	1494
116	196	1486
117	198	1481
118	199	1476
119	200	1470
120	201	1465
121	202	1458
122	204	1458
123	205	1452
124	206	1446
125	207	1441
126	208	1433
127	209	1428
128	211	1428
129	212	1424
130	214	1419
131	215	1414
132	216	1409
133	217	1403
134	219	1403
135	220	1398
136	221	1393
137	222	1387
138	223	1381
139	224	1376
140	225	1370
141	225	1363
142	227	1364
143	228	1360
144	230	1357
145	231	1353
146	234	1361
147	235	1356
148	236	1352
149	237	1347
150	239	1344
151	240	1340
152	241	1335
153	242	1330
154	243	1325
155	244	1320
156	244	1315
157	245	1310
158	247	1311
159	248	1306
160	249	1300
161	250	1296
162	251	1291
163	253	1289
164	254	1286
165	255	1282
166	256	1277
167	256	1272
168	257	1268
169	258	1263
170	259	1259
171	261	1259
172	262	1256
173	263	1252
174	264	1247
175	265	1244
176	266	1241
177	268	1237
178	269	1233
179	269	1229
180	270	1225
181	271	1221
182	273	1220
183	274	1217
184	275	1215
185	277	1213
186	278	1210
187	279	1207
188	280	1205
189	281	1201
190	282	1197
191	283	1194
192	284	1190
193	285	1187
194	286	1184
195	287	1180
196	288	1176
197	289	1172
198	290	1171
199	291	1167
200	292	1164
201	294	1161
202	295	1160
203	296	1158
204	297	1155
205	299	1152
206	299	1149
207	300	1145
208	301	1142
209	302	1138
210	303	1136
211	306	1137
212	307	1135
213	308	1133
214	309	1130
215	310	1128
216	311	1125
217	313	1123
218	314	1120
219	315	1117
220	316	1115
221	317	1112
222	318	1110
223	320	1108
224	321	1107
225	322	1104
226	323	1101
227	324	1099
228	325	1096
229	327	1094
230	328	1092
231	329	1089
232	330	1087
233	331	1085
234	332	1083
235	335	1084
236	336	1083
237	337	1080
238	338	1077
239	339	1075
240	340	1072
241	341	1069
242	342	1066
243	343	1064
244	344	1062
245	345	1060
246	347	1058
247	349	1058
248	350	1057
249	351	1055
250	354	1056
251	355	1055
252	357	1054
253	358	1052
254	360	1054
255	364	1058
256	366	1060
257	367	1058
258	369	1057
259	371	1056
260	372	1055
261	374	1056
262	376	1055
263	379	1057
264	380	1056
265	382	1055
266	383	1053
267	384	1051
268	386	1049
269	387	1047
270	389	1047
271	391	1047
272	394	1050
273	396	1049
274	397	1047
275	398	1045
276	399	1043
277	401	1041
278	402	1039
279	403	1038
280	405	1037
281	408	1040
282	409	1038
283	410	1035
284	412	1035
285	413	1033
286	414	1030
287	416	1029
288	419	1031
289	421	1031
290	424	1033
291	425	1031
292	426	1029
293	427	1027
294	429	1025
295	430	1023
296	431	1021
297	433	1020
298	434	1019
299	436	1017
300	438	1018
301	439	1016
302	440	1013
303	441	1011
304	443	1009
305	444	1007
306	446	1007
307	447	1005
308	448	1003
309	450	1001
310	451	1000
311	453	999
312	454	998
313	456	997
314	457	995
315	459	993
316	460	992
317	461	990
318	463	988
319	464	986
320	465	984
321	467	984
322	468	982
323	470	980
324	471	978
325	473	978
326	475	977
327	476	975
328	477	973
329	478	971
330	479	969
331	482	970
332	483	968
333	484	966
334	486	965
335	487	963
336	489	962
337	491	962
338	492	961
339	494	959
340	496	960
341	498	959
342	500	958
343	501	956
344	502	954
345	503	952
346	505	950
347	506	948
348	507	946
349	508	944
350	510	943
351	512	943
352	514	942
353	515	940
354	516	939
355	517	936
356	519	934
357	520	933
358	521	931
359	523	929
360	524	927
361	527	929
362	529	928
363	530	926
364	531	924
365	532	922
366	534	922
367	535	920
368	537	918
369	538	916
370	539	914
371	542	916
372	544	915
373	545	913
374	546	911
375	548	910
376	550	908
377	551	907
378	553	906
379	556	908
380	558	906
381	559	904
382	560	902
383	561	901
384	562	899
385	564	897
386	565	895
387	566	893
388	567	892
389	569	890
390	571	890
391	573	888
392	574	887
393	577	888
394	580	889
395	581	887
396	584	887
397	586	886
398	587	884
399	588	883
400	589	881
401	591	879
402	592	877
403	593	875
404	594	873
405	595	871
406	597	870
407	600	870
408	601	869
409	603	868
410	604	866
411	605	864
412	607	862
413	608	861
414	609	859
415	612	859
416	614	859
417	616	858
418	618	857
419	619	856
420	621	854
421	622	852
422	623	850
423	626	851
424	628	850
425	629	848
426	630	846
427	632	845
428	633	843
429	634	841
430	635	839
431	637	838
432	639	837
433	640	835
434	642	834
435	643	833
436	645	831
437	646	829
438	648	828
439	650	827
440	652	827
441	653	825
442	655	823
443	657	822
444	658	821
445	660	819
446	661	818
447	663	817
448	665	816
449	666	814
450	667	812
451	669	811
452	671	811
453	673	809
454	674	807
455	675	806
456	677	805
457	679	803
458	680	802
459	682	800
460	683	799
461	685	797
462	686	796
463	688	794
464	689	793
465	691	792
466	692	790
467	694	788
468	695	787
469	696	785
470	698	784
471	701	785
472	703	783
473	704	781
474	705	780
475	707	778
476	708	776
477	709	775
478	711	774
479	713	772
480	717	774
481	718	772
482	720	771
483	721	769
484	722	767
485	723	765
486	724	763
487	725	761
488	727	759
489	728	757
490	731	758
491	733	757
492	734	755
493	738	756
494	739	754
495	741	753
496	742	751
497	746	752
498	747	750
499	748	748
500	749	746
501	750	744
502	751	743
503	753	741
504	754	739
505	755	737
506	756	735
507	757	733
508	760	733
509	761	731
510	762	729
511	763	727
512	764	726
513	765	724
514	766	722
515	767	720
516	769	718
517	770	717
518	772	715
519	773	714
520	775	713
521	777	711
522	778	710
523	780	708
524	781	706
525	782	705
526	784	704
527	785	702
528	788	701
529	789	700
530	790	698
531	792	697
532	793	695
533	794	693
534	796	692
535	798	690
536	799	689
537	800	687
538	804	687
539	805	686
540	806	684
541	807	682
542	808	680
543	810	679
544	812	678
545	814	677
546	815	675
547	818	675
548	821	674
549	822	673
550	824	671
551	825	670
552	827	668
553	829	667
554	830	665
555	833	665
556	834	663
557	835	662
558	837	660
559	838	658
560	839	657
561	841	655
562	842	653
563	843	652
564	844	650
565	845	648
566	848	647
567	849	646
568	850	644
569	852	643
570	853	641
