iter	Passed	Remaining
0	1	132
1	2	132
2	3	123
3	5	130
4	6	126
5	7	121
6	8	119
7	10	116
8	11	115
9	12	112
10	13	109
11	14	107
12	15	106
13	16	104
14	17	101
15	20	106
16	21	103
17	22	102
18	23	102
19	25	102
20	26	101
21	28	100
22	29	98
23	30	96
24	31	94
25	32	92
26	35	95
27	36	93
28	37	91
29	38	90
30	39	88
31	40	87
32	42	85
33	43	83
34	44	82
35	45	81
36	46	79
37	47	78
38	50	78
39	51	77
40	52	75
41	53	73
42	54	71
43	55	70
44	56	69
45	57	67
46	58	66
47	59	64
48	61	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	68	56
55	70	55
56	71	53
57	72	52
58	73	51
59	74	49
60	76	48
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	88	36
71	89	34
72	91	33
73	93	32
74	94	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	101	23
81	102	22
82	103	21
83	105	20
84	107	18
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	117	7
94	118	6
95	119	4
96	121	3
97	122	2
98	124	1
99	125	0
